Provinsi,Laki-Laki (L) - < S1,Laki-Laki (L) - ≥ S1,Laki-Laki (L) - Subjml,Perempuan (P) - < S1,Perempuan (P) - ≥ S1,Perempuan (P) - Subjml,Laki-Laki dan Perempuan - < S1,Laki-Laki dan Perempuan - ≥ S1,Laki-Laki dan Perempuan - Jumlah,Status
Prov. Papua,134,682,816,207,1671,1878,341,2353,2694,Swasta
Prov. Bengkulu,15,419,434,42,1293,1335,57,1712,1769,Swasta
Prov. Maluku Utara,44,286,330,108,744,852,152,1030,1182,Swasta
Prov. Banten,158,2995,3153,447,8857,9304,605,11852,12457,Swasta
Prov. Kepulauan Bangka Belitung,14,244,258,25,725,750,39,969,1008,Swasta
Prov. Gorontalo,3,73,76,12,244,256,15,317,332,Swasta
Prov. Kepulauan Riau,66,1025,1091,206,3574,3780,272,4599,4871,Swasta
Prov. Papua Barat,76,377,453,121,838,959,197,1215,1412,Swasta
Prov. Sulawesi Barat,7,82,89,23,222,245,30,304,334,Swasta
Prov. Kalimantan Utara,3,146,149,28,474,502,31,620,651,Swasta
Luar Negeri,10,57,67,11,72,83,21,129,150,Swasta
Prov. Papua Tengah,217,687,904,190,1215,1405,407,1902,2309,Swasta
Prov. Papua Selatan,150,488,638,120,810,930,270,1298,1568,Swasta
Prov. Papua Pegunungan,158,367,525,75,425,500,233,792,1025,Swasta
Prov. Papua Barat Daya,49,479,528,67,1017,1084,116,1496,1612,Swasta
